distance,offset,rz,dihedral,energy
4.45,0.65,4.402272140611028,84.22,-10.104341734519672
4.21,0.5,4.180203344336253,75.55,-10.101390915036598
4.31,0.94,4.206245356609621,89.29,-10.098782000362284
4.2,0.67,4.146215141547771,81.93,-10.096788619805016
4.21,0.47,4.183682588342476,74.59,-10.09334052474114
4.15,0.72,4.0870649615586006,89.5,-10.091793507994693
4.06,0.13,4.057918185473926,67.64,-10.08166950819706
4.13,0.64,4.080110292626904,86.78,-10.07245641056143
4.31,0.74,4.245998115873345,81.49,-10.069906942366638
4.3,0.82,4.221089906647334,84.08,-10.066786003154656
4.57,0.09,4.569113699613964,86.0,-10.062034557069849
4.25,0.6,4.207433897282286,77.55,-10.060205063196191
4.22,0.48,4.192612550665754,74.21,-10.039152604501448
4.19,0.24,4.183120844537007,68.74,-10.025664856340535
4.17,0.74,4.103815297987959,86.6,-10.023532742825903
4.42,0.42,4.4,77.13,-10.020970868144722
4.25,0.83,4.168165063910018,85.35,-10.018161284746204
4.55,0.81,4.477320627339525,89.68,-10.011770284967923
4.24,0.8,4.163844377495393,84.72,-10.01097868111641
4.13,0.4,4.110583900129031,73.26,-10.005817926884305
4.44,0.7,4.3844726022635845,83.04,-10.005746602901304
4.19,0.79,4.114851151621405,88.09,-10.002796564015812
4.27,0.83,4.188555837039778,84.41,-10.001623802754274
4.18,0.35,4.165321116072565,69.1,-9.999698959406688
4.16,0.5,4.129842612013199,75.67,-9.99750230088042
4.05,0.17,4.046430525784423,68.37,-9.996454077000434
4.31,0.86,4.223328071556837,84.36,-9.992029570287594
4.42,1.05,4.293471788657753,89.95,-9.991863473539755
4.24,0.78,4.167637220296412,83.59,-9.981230298720924
4.21,0.65,4.159519202984884,79.22,-9.977228814331776
4.13,0.21,4.124657561543746,65.56,-9.97532957839443
4.2,0.67,4.146215141547771,80.24,-9.974638801504751
4.23,0.48,4.20267771783657,73.35,-9.970083169129666
4.14,0.59,4.097743281368417,81.26,-9.95940629828874
4.51,0.74,4.448876262608345,86.72,-9.958848068965962
4.59,0.46,4.56689172194831,89.92,-9.955586917178245
4.16,0.51,4.1286196240390085,75.9,-9.951538212699214
4.2,0.78,4.126935909364234,85.91,-9.943845419991897
